experiment_type,n_size,playlist_idx,seed,genre_type,genres,genre_set,trajectory_shape,method,category,arc_optimized,precompute_time_s,method_time_s,total_time_s,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,random,baseline,False,0.0154,0.0001,0.0156,0.2165771720687351,127.96818335510123,2.1689522602559532,0.08808363250079465,3.298174661651554,3.6321952405699585,4.139401446058769,6.842329969053245,0.3352424296830052
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,transition_greedy,baseline,False,0.0154,0.0001,0.0156,0.20768563508278745,57.142387884083305,0.9685150488827678,0.7804476907057455,1.4182404123243673,1.623962280681003,4.5418366237098065,5.912126750224357,0.3157007389225116
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,arc_assignment,baseline,True,0.0154,0.0002,0.0156,0.09814268436701402,135.34499997929666,2.2939830504965535,-0.005872083523042804,3.3586403275206353,3.6917012964684934,4.268183057496077,2.8960997175455208,0.2596845436126406
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,flexer_interp,baseline,True,0.0154,0.0015,0.017,0.14748471147651723,132.73047312151164,2.249669035957824,-0.0011219165652542884,3.539899845991412,3.8564603562099724,4.074261707012241,3.3355829636860923,0.21151134973396946
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,forward_beam,baseline,True,0.0154,0.0292,0.0446,0.15880713663917936,59.36696774356896,1.0062197922638807,0.7760981865177288,1.533729507590279,2.0422476987861886,3.789274122562857,5.424307951560278,0.32040304568949646
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,mm_beam,baseline,True,0.0154,0.0552,0.0706,0.17184946992305508,60.850275463974235,1.031360601084309,0.7662358379547469,1.6422310441024985,1.9686847143284454,3.5936694641018088,4.882232406487363,0.3092816028724369
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,greedy_arc_trans,baseline,True,0.0154,0.0003,0.0158,0.19191432972807362,55.51726983168726,0.9409706751133433,0.8149373835372788,1.5232197000969958,1.6500614974890588,2.6204454193818916,5.270269240501135,0.31435809068689785
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,bibs_current,ours,True,0.0154,0.0,0.0154,0.18709382034053493,77.7802002722616,1.3183084791908746,0.5836361666046586,2.484117531841898,3.0436875131293704,4.441177925096454,6.284397378690526,0.3260847532171074
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,bibs_repair,ours,True,0.0154,0.0994,0.1149,0.18429404509902234,68.12775621628727,1.1547077324794452,0.7189946041012475,2.0455513733697197,2.2050595866404312,2.6331050690123883,6.060846140390347,0.3259677252846782
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,bibs_stochastic,ours,True,0.0154,0.0,0.0154,0.16234993001931194,70.39901652697264,1.193203669948689,0.6769152764737418,2.1127877016604932,2.6192452681168517,3.4798094017441437,5.46208647113121,0.3286418673885097
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,bibs_stoch_repair,ours,True,0.0154,0.0819,0.0973,0.16299867461014425,66.54278996271574,1.1278438976731482,0.7302952440511726,1.9374550165215965,2.2559152118146986,2.61770529023957,5.46208647113121,0.3291824612116065
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,bibs_parallel,ours,True,0.0154,0.0043,0.0198,0.15560085412504113,94.29806352325316,1.5982722631059858,0.47363519088142636,2.6678090753972126,3.047654712114561,4.008408235974361,5.134462817718034,0.29559931534737777
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,mm_beam_stochastic,ours,True,0.0154,0.0,0.0154,0.17184946992305508,60.850275463974235,1.031360601084309,0.7662358379547469,1.6422310441024985,1.9686847143284454,3.5936694641018088,4.882232406487363,0.3092816028724369
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,mm_beam_stochastic_repair,ours,True,0.0154,0.0887,0.1041,0.17264909124748065,60.248942974208845,1.0211685249865905,0.7799508765162353,1.8473667148803175,2.047950280988569,2.5635298828810655,4.977100643212566,0.30913794648300047
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,mm_beam_orch_stochastic,ours,True,0.0154,0.0,0.0154,0.17184946992305508,60.850275463974235,1.031360601084309,0.7662358379547469,1.6422310441024985,1.9686847143284454,3.5936694641018088,4.882232406487363,0.3092816028724369
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,mm_beam_orch_stochastic_repair,ours,True,0.0154,0.1002,0.1157,0.17264909124748065,60.248942974208845,1.0211685249865905,0.7799508765162353,1.8473667148803175,2.047950280988569,2.5635298828810655,4.977100643212566,0.30913794648300047
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,bibs_tempo_aware,ours,True,0.0154,1.1167,1.1321,0.1829769952734478,75.73212805881644,1.2835953908273974,0.6221425157207237,2.461590916503279,3.006654592601962,3.806079343912417,5.81107475581141,0.329946166169289
all_genres,60,0,80042,all_genres,"[""reggaeton"", ""punk-rock"", ""salsa"", ""swedish"", ""j-idol"", ""grindcore"", ""blues"", ""chill""]",(all genres),wave,bibs_alpha2,ours,True,0.0154,0.9337,0.9492,0.19553794268207006,75.40885664190874,1.2781162142696396,0.6164972736403904,2.446047191412857,3.26206156275985,3.843621421512877,6.373323083827815,0.32983924311455015
