method,rank_arc_rmse,rank_total_transition_cost,rank_average_transition_cost,rank_p90_transition,rank_p95_transition,rank_max_transition,rank_dtw_shape,rank_ratio_adherence_rmse,rank_method_time_s,rank_global_coherence,composite_rank
mm_beam_orch_stochastic,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,2.5,4.0,4.35
mm_beam_orch_stochastic_repair,7.5,3.0,3.0,3.0,1.0,1.0,7.0,8.0,14.0,1.5,4.9
mm_beam_stochastic,5.0,6.5,6.5,6.5,5.5,4.5,3.5,5.0,2.5,5.5,5.1
mm_beam_stochastic_repair,7.5,4.0,4.0,4.0,2.0,2.0,6.0,7.0,15.0,1.5,5.3
mm_beam,5.0,6.5,6.5,6.5,5.5,4.5,3.5,5.0,17.0,5.5,6.55
greedy_arc_trans,12.5,2.0,2.0,2.0,7.0,11.0,11.0,11.0,8.0,7.0,7.35
transition_greedy,20.0,1.0,1.0,1.0,3.0,10.0,19.0,12.0,6.0,3.0,7.6
mm_beam_alpha2,9.0,9.0,9.0,9.0,9.0,6.0,8.0,9.0,16.0,9.0,9.3
forward_beam,17.0,8.0,8.0,8.0,8.0,7.0,10.0,19.0,11.0,8.0,10.4
bibs_stoch_repair,11.0,11.0,11.0,10.0,10.0,9.0,14.0,13.0,13.0,11.0,11.3
bibs_repair,14.0,10.0,10.0,11.0,11.0,8.0,12.0,16.0,12.0,10.0,11.4
arc_assignment,1.0,18.0,18.0,18.0,18.0,15.0,1.0,2.0,7.0,18.0,11.6
bibs_parallel,3.0,17.0,17.0,17.0,16.0,12.0,9.0,3.0,10.0,17.0,12.1
bibs_stochastic,12.5,12.0,12.0,12.0,12.0,17.0,17.0,14.0,2.5,12.0,12.3
flexer_interp,2.0,19.0,19.0,19.0,19.0,19.0,2.0,1.0,9.0,19.0,12.8
bibs_current,15.0,14.0,14.0,14.0,13.0,18.0,15.0,17.0,2.5,13.0,13.55
bibs_tempo_aware,10.0,15.0,15.0,15.0,15.0,13.0,13.0,15.0,20.0,15.0,14.6
bibs_traj_first,16.0,13.0,13.0,13.0,14.0,16.0,16.0,18.0,18.0,14.0,15.1
bibs_alpha2,18.0,16.0,16.0,16.0,17.0,14.0,18.0,20.0,19.0,16.0,17.0
random,19.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,5.0,20.0,17.4
