method,experiment_type,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
random,single_genre,0.19031,200.4026,2.25664,-0.00489,3.36161,3.59935,4.24184,10.02296,0.32302,0.00016,0.02907
transition_greedy,single_genre,0.19171,75.37805,0.87008,0.81922,1.43103,1.7891,3.27337,9.44999,0.32742,0.00042,0.02934
arc_assignment,single_genre,0.09168,190.62067,2.1436,0.08352,3.23839,3.47345,4.01559,4.09984,0.26285,0.0006,0.02951
flexer_interp,single_genre,0.14434,193.07347,2.16991,0.06078,3.26317,3.51682,4.07123,6.78097,0.21089,0.00256,0.03148
forward_beam,single_genre,0.17936,78.83297,0.90745,0.80902,1.5218,1.87223,3.02164,9.02302,0.33171,0.10943,0.13835
mm_beam,single_genre,0.17108,77.85024,0.89586,0.81767,1.5105,1.80635,2.82012,8.36465,0.31671,0.20927,0.23819
greedy_arc_trans,single_genre,0.18016,76.61838,0.8835,0.81533,1.45627,1.81966,3.23418,9.05074,0.32357,0.00085,0.02976
bibs_current,single_genre,0.17959,100.32182,1.14992,0.66699,2.11259,2.7649,4.02651,9.13664,0.33058,0.0,0.02892
bibs_repair,single_genre,0.17953,93.31184,1.06479,0.74115,1.85986,2.21447,3.10366,9.11121,0.33042,0.1236,0.15252
bibs_stochastic,single_genre,0.17979,100.77982,1.1551,0.66352,2.10918,2.77752,4.0466,9.10916,0.32923,0.0,0.02892
bibs_stoch_repair,single_genre,0.1796,93.28699,1.06512,0.74101,1.84863,2.20906,3.07857,9.07603,0.329,0.12084,0.14975
bibs_parallel,single_genre,0.16544,134.34472,1.52545,0.48448,2.625,2.9434,3.78383,8.75145,0.30952,0.01528,0.0442
mm_beam_stochastic,single_genre,0.17108,77.85024,0.89586,0.81767,1.5105,1.80635,2.82012,8.36465,0.31671,0.0,0.02892
mm_beam_stochastic_repair,single_genre,0.17122,77.19244,0.88806,0.82375,1.49447,1.76198,2.61817,8.36225,0.31675,0.14121,0.17014
mm_beam_orch_stochastic,single_genre,0.17108,77.85024,0.89586,0.81767,1.5105,1.80635,2.82012,8.36465,0.31671,0.0,0.02892
mm_beam_orch_stochastic_repair,single_genre,0.17122,77.19244,0.88806,0.82375,1.49447,1.76198,2.61817,8.36225,0.31675,0.13172,0.16065
bibs_tempo_aware,single_genre,0.17964,101.04662,1.15823,0.65954,2.1918,2.85104,3.98496,9.15554,0.33037,4.40065,4.42957
bibs_alpha2,single_genre,0.179,105.19444,1.20593,0.62569,2.40636,3.04698,4.01893,9.23973,0.33039,4.10528,4.1342
mm_beam_alpha2,single_genre,0.174,79.77413,0.91708,0.80808,1.54626,1.87405,2.88033,8.54153,0.3195,0.17636,0.20528
bibs_traj_first,single_genre,0.17982,100.57905,1.15322,0.66352,2.12331,2.79231,4.03072,9.13942,0.3319,4.08966,4.11858
random,similar_genres,0.18977,201.93129,2.27339,0.01162,3.36559,3.6264,4.15364,10.0609,0.31649,0.00018,0.0343
transition_greedy,similar_genres,0.1948,76.89168,0.8887,0.82123,1.44456,1.80353,3.24011,9.61506,0.32338,0.00047,0.03459
