method,genre_set,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
random,industrial+progressive-house+metal,0.15999,129.27397,2.19108,0.03775,3.29699,3.64424,4.02159,5.61876,0.31663,0.00017,0.02817
transition_greedy,industrial+progressive-house+metal,0.1711,56.1859,0.9523,0.79324,1.42232,1.96063,3.0356,6.05579,0.3281,0.00033,0.02833
arc_assignment,industrial+progressive-house+metal,0.07825,129.36773,2.19267,0.03111,3.4705,3.67364,3.93285,2.26699,0.28158,0.00033,0.02837
flexer_interp,industrial+progressive-house+metal,0.14709,129.72355,2.1987,0.02865,3.31507,3.56882,4.48923,5.0255,0.24473,0.00317,0.03113
forward_beam,industrial+progressive-house+metal,0.16707,58.51005,0.9917,0.77566,1.62288,1.91279,3.2987,5.8895,0.32527,0.04727,0.0753
mm_beam,industrial+progressive-house+metal,0.1584,57.91524,0.98161,0.78605,1.62437,1.95339,2.92027,5.63834,0.32254,0.1022,0.13023
greedy_arc_trans,industrial+progressive-house+metal,0.14462,56.80624,0.96282,0.79422,1.56639,1.96279,3.07195,5.29276,0.31807,0.00063,0.02863
bibs_current,industrial+progressive-house+metal,0.16875,75.21551,1.27484,0.58528,2.40043,3.26513,4.21823,5.92108,0.319,0.0,0.028
bibs_repair,industrial+progressive-house+metal,0.16479,65.67455,1.11313,0.72952,1.91169,2.25465,2.78053,5.95232,0.31926,0.12167,0.14963
bibs_stochastic,industrial+progressive-house+metal,0.15542,68.34052,1.15831,0.68806,1.94489,2.57009,3.33283,5.94899,0.30855,0.0,0.028
bibs_stoch_repair,industrial+progressive-house+metal,0.16422,65.197,1.10503,0.7337,1.81389,2.13896,3.03369,6.05684,0.30994,0.14877,0.17677
bibs_parallel,industrial+progressive-house+metal,0.15427,90.86525,1.54009,0.47873,2.63296,2.84185,4.16313,5.71755,0.30039,0.00667,0.0347
mm_beam_stochastic,industrial+progressive-house+metal,0.1584,57.91524,0.98161,0.78605,1.62437,1.95339,2.92027,5.63834,0.32254,0.0,0.028
mm_beam_stochastic_repair,industrial+progressive-house+metal,0.15837,56.78524,0.96246,0.79737,1.5883,1.85564,2.92027,5.67531,0.32212,0.12817,0.15617
mm_beam_orch_stochastic,industrial+progressive-house+metal,0.1584,57.91524,0.98161,0.78605,1.62437,1.95339,2.92027,5.63834,0.32254,0.0,0.028
mm_beam_orch_stochastic_repair,industrial+progressive-house+metal,0.15837,56.78524,0.96246,0.79737,1.5883,1.85564,2.92027,5.67531,0.32212,0.1688,0.19677
bibs_tempo_aware,industrial+progressive-house+metal,0.16244,70.10605,1.18824,0.6538,2.14401,2.66955,4.1239,6.02614,0.31631,1.6784,1.7064
bibs_alpha2,industrial+progressive-house+metal,0.15624,73.90295,1.25259,0.61273,2.46174,3.0555,3.75484,5.67412,0.31906,1.56523,1.5932
mm_beam_alpha2,industrial+progressive-house+metal,0.15651,58.40778,0.98996,0.78726,1.60273,2.04153,2.40277,5.79594,0.31688,0.0611,0.0891
bibs_traj_first,industrial+progressive-house+metal,0.16875,75.21551,1.27484,0.58528,2.40043,3.26513,4.21823,5.92108,0.319,1.67237,1.70033
random,dancehall+latino+reggae,0.17698,138.06051,2.34001,-0.00776,3.34627,3.60254,3.8316,5.84616,0.2988,0.0002,0.0207
transition_greedy,dancehall+latino+reggae,0.17729,56.60295,0.95937,0.80484,1.52972,1.95329,3.0258,6.28229,0.31653,0.00027,0.0208
arc_assignment,dancehall+latino+reggae,0.08482,133.33157,2.25986,0.04381,3.3729,3.67415,4.09033,2.58286,0.26363,0.00027,0.02077
flexer_interp,dancehall+latino+reggae,0.14085,130.37335,2.20972,0.08635,3.2292,3.40316,4.24861,4.30642,0.22268,0.00253,0.02303
forward_beam,dancehall+latino+reggae,0.18337,60.2513,1.02121,0.77667,1.63771,2.11191,3.01421,6.04483,0.32759,0.03923,0.05973
mm_beam,dancehall+latino+reggae,0.17464,57.61166,0.97647,0.80286,1.61424,1.75091,2.72934,5.7094,0.31154,0.092,0.1125
greedy_arc_trans,dancehall+latino+reggae,0.17761,57.77833,0.97929,0.79066,1.5425,1.84496,3.43157,5.63861,0.30821,0.00057,0.0211
bibs_current,dancehall+latino+reggae,0.18391,73.98519,1.25399,0.6355,2.30679,3.12836,3.65461,6.06943,0.33184,0.0,0.0205
bibs_repair,dancehall+latino+reggae,0.18322,68.38809,1.15912,0.71264,1.93176,2.40541,3.2166,6.07436,0.33075,0.1415,0.162
bibs_stochastic,dancehall+latino+reggae,0.17882,75.87166,1.28596,0.62253,2.44695,2.80131,3.66195,6.37186,0.33335,0.0,0.0205
bibs_stoch_repair,dancehall+latino+reggae,0.17977,69.85319,1.18395,0.70198,2.11001,2.3366,3.13159,6.37109,0.33264,0.12623,0.14673
bibs_parallel,dancehall+latino+reggae,0.17197,96.08942,1.62863,0.46681,2.63707,2.85046,3.79005,5.73657,0.30667,0.0107,0.03127
mm_beam_stochastic,dancehall+latino+reggae,0.17464,57.61166,0.97647,0.80286,1.61424,1.75091,2.72934,5.7094,0.31154,0.0,0.0205
mm_beam_stochastic_repair,dancehall+latino+reggae,0.17463,57.43758,0.97352,0.80311,1.60926,1.74465,2.85408,5.71077,0.31135,0.21797,0.23847
mm_beam_orch_stochastic,dancehall+latino+reggae,0.17464,57.61166,0.97647,0.80286,1.61424,1.75091,2.72934,5.7094,0.31154,0.0,0.0205
mm_beam_orch_stochastic_repair,dancehall+latino+reggae,0.17463,57.43758,0.97352,0.80311,1.60926,1.74465,2.85408,5.71077,0.31135,0.2685,0.28907
bibs_tempo_aware,dancehall+latino+reggae,0.17267,75.57889,1.281,0.62285,2.25808,3.14759,3.88895,5.88764,0.32901,2.3246,2.34507
bibs_alpha2,dancehall+latino+reggae,0.19178,77.48552,1.31331,0.60201,2.65703,3.16737,4.01631,6.46855,0.33302,1.73353,1.754
mm_beam_alpha2,dancehall+latino+reggae,0.17986,62.04593,1.05163,0.77403,1.71679,2.17674,2.62078,5.59394,0.3138,0.0672,0.0877
bibs_traj_first,dancehall+latino+reggae,0.18391,73.98519,1.25399,0.6355,2.30679,3.12836,3.65461,6.06943,0.33184,1.57413,1.59463
random,study+idm+guitar,0.20139,146.21984,2.4783,0.00161,3.48809,3.7105,4.27392,6.82334,0.32366,0.0002,0.01873
transition_greedy,study+idm+guitar,0.19456,64.67263,1.09615,0.77627,1.7501,1.92795,3.37937,5.71963,0.29134,0.00023,0.01877
arc_assignment,study+idm+guitar,0.11602,143.33269,2.42937,0.03324,3.53357,3.77937,4.3426,3.941,0.27687,0.00033,0.01887
flexer_interp,study+idm+guitar,0.16967,139.31551,2.36128,0.0904,3.45687,3.65402,4.10429,5.434,0.20645,0.00203,0.02057
forward_beam,study+idm+guitar,0.16127,66.39021,1.12526,0.77138,1.66217,2.08749,3.13295,5.25259,0.27949,0.04807,0.0666
mm_beam,study+idm+guitar,0.16452,66.14538,1.12111,0.77419,1.67025,1.97832,3.11412,5.17854,0.27497,0.09013,0.1087
greedy_arc_trans,study+idm+guitar,0.18293,65.98293,1.11835,0.76802,1.69059,2.04627,3.46647,5.79836,0.28577,0.00057,0.01913
bibs_current,study+idm+guitar,0.19937,83.474,1.41481,0.59684,2.37449,3.43294,4.0835,6.8292,0.31539,0.0,0.01853
bibs_repair,study+idm+guitar,0.20218,75.44945,1.2788,0.70521,2.12862,2.39508,3.2102,6.83713,0.31581,0.1117,0.13023
bibs_stochastic,study+idm+guitar,0.19339,82.59291,1.39988,0.61111,2.62941,2.96324,4.33753,6.92616,0.30299,0.0,0.01853
bibs_stoch_repair,study+idm+guitar,0.19128,78.04093,1.32273,0.67475,2.38327,2.69765,3.3471,6.72678,0.30314,0.1419,0.16047
bibs_parallel,study+idm+guitar,0.1847,102.40379,1.73566,0.46074,3.00838,3.31936,3.95058,6.50684,0.3095,0.00817,0.02677
mm_beam_stochastic,study+idm+guitar,0.16452,66.14538,1.12111,0.77419,1.67025,1.97832,3.11412,5.17854,0.27497,0.0,0.01853
mm_beam_stochastic_repair,study+idm+guitar,0.16527,64.94698,1.1008,0.78736,1.66207,1.95939,2.89088,5.0686,0.27537,0.12517,0.1437
mm_beam_orch_stochastic,study+idm+guitar,0.16452,66.14538,1.12111,0.77419,1.67025,1.97832,3.11412,5.17854,0.27497,0.0,0.01853
mm_beam_orch_stochastic_repair,study+idm+guitar,0.16527,64.94698,1.1008,0.78736,1.66207,1.95939,2.89088,5.0686,0.27537,0.13673,0.15527
bibs_tempo_aware,study+idm+guitar,0.18952,85.315,1.44602,0.57542,2.74178,3.50832,4.25846,6.38499,0.30725,1.66317,1.68173
bibs_alpha2,study+idm+guitar,0.1929,86.83279,1.47174,0.55584,2.99391,3.48248,4.1594,6.44676,0.31162,1.29163,1.31013
mm_beam_alpha2,study+idm+guitar,0.17677,66.80791,1.13234,0.77048,1.81029,2.14133,3.04166,5.52947,0.29823,0.06613,0.08467
bibs_traj_first,study+idm+guitar,0.19937,83.474,1.41481,0.59684,2.37449,3.43294,4.0835,6.8292,0.31539,1.5654,1.58397
random,honky-tonk+tango+jazz,0.20711,128.08881,2.171,0.03443,3.26878,3.53285,3.76956,7.30878,0.32826,0.00013,0.01983
transition_greedy,honky-tonk+tango+jazz,0.21626,54.65861,0.92642,0.80043,1.63197,2.01749,2.77299,6.36147,0.31287,0.00017,0.01987
