method,n_size,trajectory_shape,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
random,60,linear,0.18474,138.09834,2.34065,0.00194,3.45194,3.67913,4.142,7.3347,0.31105,0.00012,0.01531
transition_greedy,60,linear,0.19574,59.43124,1.00731,0.78545,1.6242,1.9588,3.33793,7.38172,0.32292,0.00019,0.01538
arc_assignment,60,linear,0.06792,128.79173,2.18291,0.1227,3.25993,3.47286,3.9855,1.86851,0.23379,0.00021,0.0154
flexer_interp,60,linear,0.12111,130.76877,2.21642,0.09586,3.33586,3.55226,4.01875,4.90068,0.21874,0.00178,0.01697
forward_beam,60,linear,0.19024,61.54553,1.04314,0.77247,1.70087,2.1114,3.23875,6.98439,0.31748,0.03,0.04519
mm_beam,60,linear,0.17034,60.17159,1.01986,0.79088,1.65467,1.95536,2.72046,6.48244,0.29852,0.06109,0.07629
greedy_arc_trans,60,linear,0.1931,59.71808,1.01217,0.78574,1.62157,1.94975,3.18347,7.03887,0.31724,0.00039,0.01559
bibs_current,60,linear,0.19575,78.94989,1.33813,0.59013,2.59113,3.14811,4.25126,7.33353,0.32191,0.0,0.01519
bibs_repair,60,linear,0.19537,69.87974,1.1844,0.71418,2.01763,2.34866,3.09055,7.30963,0.32127,0.10717,0.12237
bibs_stochastic,60,linear,0.19029,76.3906,1.29476,0.62704,2.35508,2.93687,3.9357,7.19652,0.31891,0.0,0.01519
bibs_stoch_repair,60,linear,0.18977,69.78101,1.18273,0.71613,1.96155,2.27642,3.095,7.16243,0.3181,0.09875,0.11395
bibs_parallel,60,linear,0.17911,95.3227,1.61564,0.48435,2.68567,2.95564,3.67599,6.73656,0.30564,0.00522,0.02041
mm_beam_stochastic,60,linear,0.17034,60.17159,1.01986,0.79088,1.65467,1.95536,2.72046,6.48244,0.29852,0.0,0.01519
mm_beam_stochastic_repair,60,linear,0.1705,59.52709,1.00893,0.79911,1.62169,1.90203,2.48058,6.4888,0.29891,0.11114,0.12633
mm_beam_orch_stochastic,60,linear,0.17034,60.17159,1.01986,0.79088,1.65467,1.95536,2.72046,6.48244,0.29852,0.0,0.01519
mm_beam_orch_stochastic_repair,60,linear,0.1705,59.52709,1.00893,0.79911,1.62169,1.90203,2.48058,6.4888,0.29891,0.12764,0.14283
bibs_tempo_aware,60,linear,0.19246,77.46707,1.313,0.61361,2.39589,3.07647,4.02487,7.16554,0.32089,1.37647,1.39164
bibs_alpha2,60,linear,0.19418,80.32075,1.36137,0.58034,2.66108,3.18094,3.9998,7.35025,0.31981,1.20138,1.21657
mm_beam_alpha2,60,linear,0.17583,61.6325,1.04462,0.7802,1.69882,2.05045,2.75385,6.60257,0.30634,0.05693,0.07211
bibs_traj_first,60,linear,0.19574,78.90367,1.33735,0.59048,2.59498,3.16645,4.23533,7.36644,0.32256,1.24085,1.25604
random,60,log_rise,0.1855,136.48738,2.31335,-0.00742,3.4227,3.63735,4.13758,7.26918,0.31607,0.00015,0.01653
transition_greedy,60,log_rise,0.1896,59.22203,1.00376,0.77847,1.65614,2.01826,3.2583,7.28623,0.31562,0.0002,0.01657
arc_assignment,60,log_rise,0.10592,131.08357,2.22176,0.0686,3.31287,3.55817,4.00213,3.22628,0.24127,0.00023,0.0166
flexer_interp,60,log_rise,0.1313,130.20986,2.20695,0.07792,3.29502,3.54494,4.12671,4.65532,0.20538,0.00192,0.0183
forward_beam,60,log_rise,0.19109,61.6133,1.04429,0.76554,1.74651,2.13617,3.08746,7.26531,0.32291,0.03168,0.04805
mm_beam,60,log_rise,0.17934,60.45064,1.02459,0.7801,1.69402,1.9855,2.87785,6.42031,0.30384,0.06558,0.08198
greedy_arc_trans,60,log_rise,0.18578,60.20031,1.02034,0.77086,1.70148,2.13828,3.29183,7.10086,0.31584,0.00048,0.01685
bibs_current,60,log_rise,0.18998,75.80371,1.28481,0.6116,2.39433,3.06989,4.11715,7.30712,0.32015,0.0,0.01637
