method,n_size,experiment_type,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
random,60,single_genre,0.18985,133.99741,2.27114,-0.01985,3.38104,3.59483,4.12283,6.70088,0.31563,0.00012,0.01234
transition_greedy,60,single_genre,0.19414,57.56781,0.97573,0.7775,1.60493,1.96563,3.31222,6.3462,0.3246,0.00015,0.01239
arc_assignment,60,single_genre,0.08834,125.95274,2.13479,0.08909,3.22388,3.45128,3.90543,2.64068,0.25673,0.00022,0.01243
flexer_interp,60,single_genre,0.14265,126.84689,2.14995,0.07552,3.21831,3.4756,3.94773,4.52261,0.20995,0.0014,0.01362
forward_beam,60,single_genre,0.18113,59.26956,1.00457,0.77177,1.65856,2.05429,2.97009,6.07711,0.32624,0.02455,0.03677
mm_beam,60,single_genre,0.17192,58.33469,0.98872,0.78459,1.64859,1.91975,2.73959,5.60009,0.31288,0.04919,0.06143
greedy_arc_trans,60,single_genre,0.18413,58.10904,0.9849,0.77524,1.62667,2.00355,3.28904,6.10851,0.32153,0.00034,0.01256
bibs_current,60,single_genre,0.18324,73.70002,1.24915,0.61703,2.29452,2.93284,3.97792,6.27511,0.32595,0.0,0.01222
bibs_repair,60,single_genre,0.18275,67.00603,1.1357,0.71414,1.92642,2.25846,2.99349,6.24233,0.32554,0.07897,0.09119
bibs_stochastic,60,single_genre,0.18471,74.06646,1.25536,0.61363,2.31308,2.97499,3.93149,6.29982,0.32508,0.0,0.01222
bibs_stoch_repair,60,single_genre,0.18463,67.04022,1.13627,0.71416,1.92551,2.2345,2.97199,6.29248,0.32448,0.07977,0.09199
bibs_parallel,60,single_genre,0.17113,92.23323,1.56328,0.47248,2.59473,2.89572,3.59014,6.07064,0.31036,0.00427,0.01649
mm_beam_stochastic,60,single_genre,0.17192,58.33469,0.98872,0.78459,1.64859,1.91975,2.73959,5.60009,0.31288,0.0,0.01222
mm_beam_stochastic_repair,60,single_genre,0.1723,57.79093,0.97951,0.79152,1.63032,1.86982,2.52802,5.60318,0.31308,0.08654,0.09876
mm_beam_orch_stochastic,60,single_genre,0.17192,58.33469,0.98872,0.78459,1.64859,1.91975,2.73959,5.60009,0.31288,0.0,0.01222
mm_beam_orch_stochastic_repair,60,single_genre,0.1723,57.79093,0.97951,0.79152,1.63032,1.86982,2.52802,5.60318,0.31308,0.08038,0.0926
bibs_tempo_aware,60,single_genre,0.18477,73.88905,1.25236,0.61668,2.37071,2.92127,3.81628,6.30923,0.32714,1.018,1.03022
bibs_alpha2,60,single_genre,0.18288,77.08607,1.30654,0.573,2.61376,3.12627,3.94182,6.32966,0.3293,1.02853,1.04074
mm_beam_alpha2,60,single_genre,0.17454,59.27437,1.00465,0.77527,1.6609,2.01299,2.8187,5.64078,0.31482,0.05091,0.06314
bibs_traj_first,60,single_genre,0.18352,74.19843,1.2576,0.60968,2.33443,2.98362,3.99792,6.30712,0.32722,0.98166,0.99388
random,90,single_genre,0.19467,202.15606,2.27142,0.00259,3.36793,3.59716,4.31223,10.08347,0.32264,0.00014,0.0248
transition_greedy,90,single_genre,0.19476,76.9613,0.86473,0.82741,1.41017,1.77248,3.26299,9.62285,0.32173,0.00034,0.025
arc_assignment,90,single_genre,0.09363,193.76638,2.17715,0.0748,3.27406,3.5088,4.06969,4.23386,0.26214,0.00048,0.02513
flexer_interp,90,single_genre,0.14564,197.1115,2.21474,0.04023,3.33238,3.58087,4.15031,6.64269,0.20681,0.00224,0.0269
forward_beam,90,single_genre,0.18031,80.64882,0.90617,0.81463,1.51387,1.87017,3.05425,9.04308,0.32547,0.0783,0.10296
mm_beam,90,single_genre,0.17074,79.94309,0.89824,0.82031,1.50222,1.83278,2.87498,8.33177,0.31026,0.14174,0.1664
greedy_arc_trans,90,single_genre,0.17941,78.5045,0.88207,0.82165,1.4484,1.79963,3.18096,9.0838,0.31458,0.00075,0.02541
bibs_current,90,single_genre,0.17995,102.66946,1.15359,0.67327,2.11673,2.80014,3.99892,9.16347,0.32389,0.0,0.02466
bibs_repair,90,single_genre,0.17998,95.08575,1.06838,0.74643,1.86888,2.2173,3.08939,9.11652,0.32381,0.10332,0.12798
bibs_stochastic,90,single_genre,0.17914,102.97644,1.15704,0.67042,2.06737,2.73648,4.18829,9.11317,0.3219,0.0,0.02466
bibs_stoch_repair,90,single_genre,0.17891,95.55501,1.07365,0.7436,1.85671,2.2354,3.06881,9.04069,0.32182,0.1064,0.13107
bibs_parallel,90,single_genre,0.16081,141.67374,1.59184,0.45094,2.72521,3.04598,3.88007,8.56211,0.30027,0.011,0.03566
mm_beam_stochastic,90,single_genre,0.17074,79.94309,0.89824,0.82031,1.50222,1.83278,2.87498,8.33177,0.31026,0.0,0.02466
mm_beam_stochastic_repair,90,single_genre,0.17082,79.17702,0.88963,0.82717,1.48546,1.77637,2.66269,8.32628,0.31021,0.12561,0.15028
mm_beam_orch_stochastic,90,single_genre,0.17074,79.94309,0.89824,0.82031,1.50222,1.83278,2.87498,8.33177,0.31026,0.0,0.02466
mm_beam_orch_stochastic_repair,90,single_genre,0.17082,79.17702,0.88963,0.82717,1.48546,1.77637,2.66269,8.32628,0.31021,0.12655,0.15122
bibs_tempo_aware,90,single_genre,0.17896,104.44446,1.17353,0.65564,2.20399,3.00323,4.00967,9.18965,0.32259,6.36828,6.39295
bibs_alpha2,90,single_genre,0.18032,108.40637,1.21805,0.62767,2.42696,3.11006,4.08273,9.31308,0.32303,6.18716,6.21183
mm_beam_alpha2,90,single_genre,0.17742,82.45832,0.9265,0.80861,1.57212,1.88299,2.92084,8.85437,0.31501,0.141,0.16566
bibs_traj_first,90,single_genre,0.17968,102.36919,1.15022,0.6744,2.10389,2.80144,3.98395,9.13035,0.32445,6.37496,6.39963
random,120,single_genre,0.1864,265.05432,2.22735,0.0026,3.33585,3.60607,4.29046,13.28454,0.33078,0.0002,0.05008
transition_greedy,120,single_genre,0.18623,91.60504,0.76979,0.85275,1.278,1.62919,3.24489,12.38093,0.33594,0.00078,0.05065
arc_assignment,120,single_genre,0.09307,252.14288,2.11885,0.08667,3.21724,3.46026,4.07166,5.42497,0.26967,0.0011,0.05097
flexer_interp,120,single_genre,0.14473,255.26202,2.14506,0.06659,3.23881,3.49399,4.11566,9.17761,0.21591,0.00406,0.05392
forward_beam,120,single_genre,0.17663,96.58054,0.8116,0.84065,1.39296,1.69222,3.04059,11.94888,0.34341,0.22544,0.27532
mm_beam,120,single_genre,0.1706,95.27293,0.80061,0.8481,1.38069,1.66652,2.84577,11.16209,0.32698,0.43687,0.48674
greedy_arc_trans,120,single_genre,0.17692,93.2416,0.78354,0.84911,1.29374,1.65581,3.23255,11.95991,0.3346,0.00145,0.05132
bibs_current,120,single_genre,0.17559,124.59598,1.04703,0.71068,1.92653,2.56172,4.1027,11.97134,0.34189,0.0,0.04988
bibs_repair,120,single_genre,0.17588,117.84373,0.99028,0.76287,1.78426,2.16764,3.22811,11.97477,0.34192,0.18852,0.2384
bibs_stochastic,120,single_genre,0.17553,125.29656,1.05291,0.70651,1.9471,2.6211,4.02003,11.9145,0.3407,0.0,0.04988
bibs_stoch_repair,120,single_genre,0.17526,117.26573,0.98543,0.76525,1.76367,2.15726,3.19489,11.89491,0.3407,0.17634,0.2262
bibs_parallel,120,single_genre,0.16439,169.12718,1.42124,0.53003,2.55506,2.88852,3.88128,11.62159,0.31792,0.03058,0.08046
mm_beam_stochastic,120,single_genre,0.1706,95.27293,0.80061,0.8481,1.38069,1.66652,2.84577,11.16209,0.32698,0.0,0.04988
mm_beam_stochastic_repair,120,single_genre,0.17055,94.60935,0.79504,0.85255,1.36762,1.63975,2.66379,11.1573,0.32695,0.2115,0.26138
mm_beam_orch_stochastic,120,single_genre,0.1706,95.27293,0.80061,0.8481,1.38069,1.66652,2.84577,11.16209,0.32698,0.0,0.04988
