method,n_size,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
random,60,0.19534,136.34223,2.31089,0.00272,3.41588,3.64218,4.13014,6.85889,0.31542,0.00014,0.0169
transition_greedy,60,0.20168,59.20831,1.00353,0.78061,1.62078,2.00158,3.31747,6.57027,0.32315,0.00019,0.01697
arc_assignment,60,0.09214,129.86196,2.20105,0.08803,3.29624,3.53974,4.01094,2.74979,0.25643,0.00024,0.01701
flexer_interp,60,0.14961,130.44939,2.21101,0.08088,3.30183,3.55106,4.06054,4.72161,0.2089,0.00188,0.01866
forward_beam,60,0.18854,61.23797,1.03793,0.77055,1.69378,2.08824,3.14712,6.25562,0.32741,0.03308,0.04985
mm_beam,60,0.17902,60.27131,1.02155,0.78329,1.66996,1.96116,2.8421,5.77671,0.30995,0.06561,0.08238
greedy_arc_trans,60,0.18879,59.92015,1.0156,0.77632,1.64082,2.0297,3.30571,6.24668,0.32137,0.00043,0.0172
bibs_current,60,0.19005,76.80308,1.30175,0.60691,2.42866,3.05209,4.07836,6.5243,0.32702,0.0,0.01676
bibs_repair,60,0.18925,69.3805,1.17594,0.71039,2.00755,2.34801,3.06284,6.46624,0.32663,0.10817,0.12494
bibs_stochastic,60,0.18939,76.1516,1.29071,0.61789,2.38682,3.00407,3.93849,6.51616,0.32598,0.0,0.01676
bibs_stoch_repair,60,0.18911,69.57926,1.17931,0.70881,2.00313,2.34363,3.07353,6.46984,0.32548,0.11,0.12676
bibs_parallel,60,0.17755,94.27657,1.59791,0.47952,2.64681,2.94631,3.75287,6.21145,0.31002,0.00561,0.02239
mm_beam_stochastic,60,0.17902,60.27131,1.02155,0.78329,1.66996,1.96116,2.8421,5.77671,0.30995,0.0,0.01676
mm_beam_stochastic_repair,60,0.17942,59.66757,1.01131,0.79098,1.64752,1.91087,2.64219,5.77703,0.31011,0.11731,0.13407
mm_beam_orch_stochastic,60,0.17902,60.27131,1.02155,0.78329,1.66996,1.96116,2.8421,5.77671,0.30995,0.0,0.01676
mm_beam_orch_stochastic_repair,60,0.17942,59.66757,1.01131,0.79098,1.64752,1.91087,2.64219,5.77703,0.31011,0.11885,0.13562
bibs_tempo_aware,60,0.18907,76.91449,1.30364,0.60789,2.41148,3.05878,4.02636,6.45221,0.32688,1.39933,1.41609
bibs_alpha2,60,0.1906,80.13712,1.35826,0.56714,2.69297,3.24732,4.05643,6.57562,0.32921,1.22922,1.24599
mm_beam_alpha2,60,0.1839,61.48091,1.04205,0.77329,1.70154,2.05972,2.89398,5.95292,0.3152,0.05673,0.0735
bibs_traj_first,60,0.19005,76.96231,1.30445,0.60456,2.44142,3.06826,4.07447,6.5365,0.32791,1.21524,1.232
random,90,0.19872,203.38275,2.2852,0.01089,3.3891,3.63383,4.24205,10.52257,0.32458,0.00015,0.02633
transition_greedy,90,0.20116,78.36649,0.88052,0.82675,1.44359,1.78876,3.22662,9.9193,0.3296,0.00036,0.02654
arc_assignment,90,0.09737,194.35369,2.18375,0.08861,3.26742,3.51014,4.09969,4.34836,0.26144,0.00049,0.02667
flexer_interp,90,0.15235,196.43608,2.20715,0.06878,3.30393,3.56808,4.1806,6.95263,0.20941,0.00241,0.02861
forward_beam,90,0.18444,82.27546,0.92444,0.81122,1.53652,1.89922,3.13512,9.29309,0.33247,0.08233,0.10851
mm_beam,90,0.17567,81.04898,0.91066,0.82182,1.51736,1.82637,2.79141,8.5677,0.31383,0.15474,0.18093
greedy_arc_trans,90,0.18408,80.06667,0.89963,0.81857,1.46075,1.83422,3.33596,9.37389,0.32431,0.00076,0.02695
bibs_current,90,0.18497,105.30733,1.18323,0.66105,2.21304,2.91103,4.09669,9.39441,0.33182,0.0,0.02619
bibs_repair,90,0.18489,97.42136,1.09462,0.73802,1.91239,2.27742,3.17695,9.32868,0.33162,0.11624,0.14242
