method,trajectory_shape,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
random,linear,0.1868,201.03694,2.31624,0.00265,3.44108,3.68623,4.2135,10.71752,0.32153,0.00015,0.02836
transition_greedy,linear,0.19712,76.32165,0.90404,0.82014,1.46707,1.80447,3.304,10.77029,0.33266,0.00041,0.02862
arc_assignment,linear,0.07517,189.4417,2.17842,0.1092,3.25024,3.49426,4.06253,3.01809,0.23221,0.00048,0.02869
flexer_interp,linear,0.12119,192.83743,2.21704,0.07702,3.3195,3.55264,4.12566,7.043,0.21404,0.00263,0.03084
forward_beam,linear,0.19204,79.78172,0.94325,0.80739,1.56589,1.92046,3.16628,10.21704,0.32707,0.10356,0.13177
mm_beam,linear,0.17021,78.45611,0.92648,0.81971,1.52616,1.82286,2.77481,9.37925,0.30504,0.2003,0.22851
greedy_arc_trans,linear,0.18739,77.51503,0.91648,0.81623,1.48652,1.84282,3.24245,9.9723,0.32032,0.0008,0.02901
bibs_current,linear,0.19296,103.73223,1.2235,0.64257,2.32004,2.97795,4.19466,10.25017,0.32775,0.0,0.02821
bibs_repair,linear,0.19275,94.89633,1.11135,0.73589,1.93588,2.28644,3.22878,10.22909,0.32744,0.12769,0.1559
bibs_stochastic,linear,0.19097,102.38836,1.20108,0.66237,2.1905,2.87088,4.00436,10.27624,0.32768,0.0,0.02821
bibs_stoch_repair,linear,0.19076,94.97502,1.11036,0.73764,1.89616,2.27022,3.20408,10.27369,0.32736,0.12769,0.1559
bibs_parallel,linear,0.17391,135.21706,1.57213,0.48876,2.69302,2.97305,3.82457,9.38114,0.30616,0.01562,0.04384
mm_beam_stochastic,linear,0.17021,78.45611,0.92648,0.81971,1.52616,1.82286,2.77481,9.37925,0.30504,0.0,0.02821
mm_beam_stochastic_repair,linear,0.1703,77.83063,0.9186,0.82563,1.51022,1.77996,2.57613,9.38351,0.3052,0.15012,0.17833
mm_beam_orch_stochastic,linear,0.17021,78.45611,0.92648,0.81971,1.52616,1.82286,2.77481,9.37925,0.30504,0.0,0.02821
mm_beam_orch_stochastic_repair,linear,0.1703,77.83063,0.9186,0.82563,1.51022,1.77996,2.57613,9.38351,0.3052,0.1514,0.17961
bibs_tempo_aware,linear,0.19097,102.55548,1.20841,0.65519,2.22867,2.94236,4.08139,10.15739,0.327,4.35733,4.38553
bibs_alpha2,linear,0.19431,105.82136,1.24744,0.62866,2.45267,3.10527,4.05702,10.54425,0.32967,3.91579,3.944
mm_beam_alpha2,linear,0.17705,80.77759,0.95289,0.80847,1.58458,1.9321,2.87308,9.6725,0.3133,0.17266,0.20087
bibs_traj_first,linear,0.19303,103.82256,1.22411,0.64214,2.32435,2.98521,4.18312,10.27309,0.32866,3.97138,3.99959
random,log_rise,0.18206,199.82179,2.27016,0.01472,3.36433,3.61608,4.24058,10.63738,0.31895,0.00016,0.02965
transition_greedy,log_rise,0.18611,76.45219,0.8904,0.81954,1.46629,1.81682,3.23574,10.52665,0.32385,0.00042,0.0299
arc_assignment,log_rise,0.10162,192.47127,2.18779,0.07962,3.26959,3.52136,4.06701,4.48088,0.24349,0.00055,0.03004
flexer_interp,log_rise,0.12517,193.91746,2.20033,0.06712,3.30393,3.55911,4.175,6.81432,0.21025,0.00275,0.03224
forward_beam,log_rise,0.1858,80.20373,0.93288,0.80538,1.5459,1.91894,3.12292,10.44839,0.32903,0.1085,0.13799
mm_beam,log_rise,0.1743,79.03575,0.91853,0.81683,1.52969,1.82639,2.81176,9.31076,0.30931,0.21041,0.2399
greedy_arc_trans,log_rise,0.1826,77.71098,0.90497,0.81443,1.49663,1.89457,3.1949,10.3678,0.32265,0.00089,0.03038
bibs_current,log_rise,0.18578,103.11284,1.18988,0.65172,2.23967,2.94795,4.08581,10.496,0.32799,0.0,0.02949
bibs_repair,log_rise,0.18579,95.64846,1.10018,0.73134,1.93947,2.33461,3.14062,10.45193,0.3278,0.12641,0.1559
bibs_stochastic,log_rise,0.185,103.00753,1.18931,0.65508,2.21923,2.90683,4.0373,10.56594,0.32751,0.0,0.02949
bibs_stoch_repair,log_rise,0.18496,95.74451,1.10177,0.72914,1.93137,2.33506,3.25124,10.5811,0.32736,0.12893,0.15841
bibs_parallel,log_rise,0.16703,135.55677,1.54891,0.48752,2.6555,2.97682,3.83172,9.62386,0.30792,0.01408,0.04357
mm_beam_stochastic,log_rise,0.1743,79.03575,0.91853,0.81683,1.52969,1.82639,2.81176,9.31076,0.30931,0.0,0.02949
mm_beam_stochastic_repair,log_rise,0.17433,78.48966,0.91203,0.82158,1.51845,1.77949,2.67609,9.31199,0.30929,0.14339,0.17288
mm_beam_orch_stochastic,log_rise,0.1743,79.03575,0.91853,0.81683,1.52969,1.82639,2.81176,9.31076,0.30931,0.0,0.02949
mm_beam_orch_stochastic_repair,log_rise,0.17433,78.48966,0.91203,0.82158,1.51845,1.77949,2.67609,9.31199,0.30929,0.13737,0.16685
bibs_tempo_aware,log_rise,0.18556,103.25368,1.19198,0.65113,2.25199,2.95256,4.07089,10.47476,0.32849,4.55055,4.58004
bibs_alpha2,log_rise,0.185,106.0556,1.22503,0.62663,2.43647,3.13735,4.06923,10.45467,0.32918,4.29613,4.32563
mm_beam_alpha2,log_rise,0.17825,80.95071,0.93884,0.80725,1.55669,1.8831,2.85939,9.66836,0.31574,0.17246,0.20196
bibs_traj_first,log_rise,0.18567,102.75072,1.18593,0.65504,2.21354,2.9156,4.07059,10.52229,0.3285,4.15044,4.17993
random,wave,0.20887,194.80875,2.25861,0.01749,3.34873,3.6077,4.20336,9.64349,0.32016,0.00013,0.02892
transition_greedy,wave,0.21262,75.86858,0.89859,0.81456,1.46117,1.82626,3.2522,8.85306,0.32607,0.00036,0.02915
arc_assignment,wave,0.0903,187.41094,2.17089,0.08227,3.26443,3.50115,4.07211,4.15524,0.25566,0.00058,0.02937
flexer_interp,wave,0.15167,188.23376,2.18245,0.0748,3.26856,3.53789,4.10798,6.43337,0.20777,0.00244,0.03122
forward_beam,wave,0.19662,79.14555,0.93411,0.80508,1.5564,1.91623,3.06325,8.58871,0.3324,0.09615,0.12492
mm_beam,wave,0.1842,78.26196,0.92408,0.81245,1.54789,1.843,2.83566,7.49679,0.31331,0.18222,0.21102
greedy_arc_trans,wave,0.19392,77.02966,0.91149,0.80969,1.48963,1.83214,3.33705,8.56573,0.32132,0.00072,0.0295
bibs_current,wave,0.19396,100.44924,1.18493,0.65703,2.17484,2.82684,4.05392,8.66582,0.32845,0.0,0.02878
bibs_repair,wave,0.19326,93.10728,1.09368,0.73519,1.89818,2.2579,3.12284,8.57189,0.32843,0.12073,0.14951
