method,category,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
random,baseline,0.19415,203.64139,2.29169,0.00584,3.39459,3.63993,4.22239,10.27749,0.32136,0.00016,0.02997
transition_greedy,baseline,0.19861,77.53876,0.89424,0.81986,1.45889,1.81326,3.26672,9.75066,0.32979,0.00043,0.03024
arc_assignment,baseline,0.09409,194.37503,2.18684,0.0859,3.2789,3.52245,4.08969,4.17977,0.26213,0.00058,0.0304
flexer_interp,baseline,0.15008,196.17589,2.20561,0.07094,3.30261,3.55596,4.14603,6.99817,0.21076,0.0027,0.03252
forward_beam,baseline,0.18447,81.16971,0.93422,0.80719,1.55193,1.90332,3.12944,9.20581,0.33424,0.10825,0.13806
mm_beam,baseline,0.176,79.96885,0.92022,0.81776,1.53086,1.82771,2.80533,8.49686,0.31597,0.20712,0.23694
greedy_arc_trans,baseline,0.18403,78.90993,0.9094,0.81424,1.48012,1.85306,3.29271,9.26456,0.32635,0.00083,0.03065
bibs_current,ours,0.18439,103.94771,1.19172,0.65672,2.2163,2.89044,4.1037,9.3822,0.3327,0.0,0.02981
bibs_repair,ours,0.18408,96.22788,1.09826,0.73641,1.91544,2.28442,3.16732,9.33722,0.33249,0.12961,0.15942
bibs_stochastic,ours,0.18403,103.83247,1.18874,0.66028,2.18063,2.86152,4.09667,9.39151,0.33214,0.0,0.02981
bibs_stoch_repair,ours,0.18392,96.39383,1.10007,0.73589,1.90599,2.28155,3.16802,9.37009,0.33196,0.13187,0.16168
bibs_parallel,ours,0.17105,136.77223,1.55283,0.48855,2.66732,2.97185,3.86907,8.93047,0.31007,0.01548,0.0453
mm_beam_stochastic,ours,0.176,79.96885,0.92022,0.81776,1.53086,1.82771,2.80533,8.49686,0.31597,0.0,0.02981
mm_beam_stochastic_repair,ours,0.17613,79.3926,0.9131,0.82316,1.51663,1.78904,2.62582,8.49768,0.31601,0.1477,0.17751
mm_beam_orch_stochastic,ours,0.176,79.96758,0.92021,0.81777,1.53084,1.8274,2.80411,8.49699,0.31597,0.0,0.02981
mm_beam_orch_stochastic_repair,ours,0.17613,79.39187,0.91309,0.82316,1.51659,1.7885,2.6246,8.49777,0.31602,0.1474,0.17722
bibs_tempo_aware,ours,0.18345,104.00282,1.1933,0.65588,2.21718,2.91633,4.06257,9.34462,0.33247,4.53823,4.56804
bibs_alpha2,ours,0.18588,108.0566,1.23995,0.62268,2.46994,3.11908,4.08629,9.53684,0.33497,4.24765,4.27747
mm_beam_alpha2,baseline,0.18073,82.16678,0.94451,0.80667,1.57878,1.90727,2.89503,8.75938,0.32096,0.17899,0.20881
bibs_traj_first,ours,0.18444,103.88588,1.19146,0.65649,2.21407,2.8965,4.0946,9.38916,0.33354,4.18249,4.2123
