position,track_index,track_id,track_name,artists,track_genre,EV_score,tempo,camelot,energy,valence,key,mode,time_signature,loudness,acousticness,instrumentalness,liveness,speechiness
0,45,67l8nACchnc7Mq9LP6XqNz,"River - Recorded At RAK Studios, London",Sam Smith,pop,0.21967573760989323,115.443,6B,0.181,0.196,10,1,4,-11.417,0.896,1.09e-06,0.11,0.0406
1,109,5DEp8hauuZ45oG38YOkkQq,Aziyat,Pratsofficial,pop,0.3917550156907096,104.961,6B,0.437,0.233,10,1,4,-8.655,0.758,0.00801,0.106,0.0271
2,34,0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,pop,0.39841577173568476,101.358,6B,0.508,0.227,10,1,3,-6.05,0.727,0.0,0.174,0.0288
3,120,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,pop,0.37079537521968475,85.043,6B,0.557,0.494,10,1,4,-7.398,0.695,0.0,0.0902,0.059
4,6,1ztf4sRocsJ9PrdzGGYonb,Only Thing I Ever Get For Christmas,Justin Bieber,pop,0.3954507045256272,85.648,6B,0.63,0.321,10,1,4,-8.032,0.217,0.0,0.111,0.0494
5,69,5zcfnScTSFGCHGY1yeXWke,Ishq Sufiyana (Male),Kamal Khan,pop,0.42946139877197,85.349,6B,0.622,0.387,10,1,4,-6.184,0.0662,7.78e-05,0.0465,0.0435
6,98,1stiSonuKkZqhI1o9nZ9MT,Raataan Lambiyan,Tanishk Bagchi;Jubin Nautiyal;Asees Kaur,pop,0.5321719799563208,81.008,6B,0.628,0.514,10,1,4,-5.546,0.61,0.0,0.108,0.0409
7,145,0tPGKwBnhD2pxeUoGxpZYB,Numb,Khan Bhaini,pop,0.5214301480470138,80.634,6A,0.6,0.625,7,0,4,-4.008,0.32,0.0,0.108,0.0494
8,146,6Sflud15ff1KqBzg6wj78S,Kabhii Tumhhe,Javed-Mohsin;Darshan Raval,pop,0.39385526389916914,96.981,6A,0.338,0.451,7,0,4,-7.478,0.864,4.41e-06,0.133,0.027
9,63,3TmDnZuy3pHQbFJG5fRu2a,Doin' Time,Lana Del Rey,pop,0.48867676895225676,144.982,6A,0.559,0.523,7,0,4,-11.132,0.404,0.00402,0.0937,0.0355
10,140,3dBlOhEY4xdQB2Ge4NzULx,Tere Jeya Hor Disda (LoFi),Madhur Sharma,pop,0.3610989827033157,171.988,6A,0.469,0.102,7,0,4,-8.404,0.794,0.0176,0.106,0.0528
11,30,5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,pop,0.37923081299098255,143.875,6B,0.431,0.137,10,1,4,-8.81,0.768,1.42e-05,0.106,0.0578
12,54,5DMirbBpNmJdTU9rGH2VW4,The Scientist,Coldplay,pop,0.427320240416858,146.277,7B,0.442,0.213,5,1,4,-7.224,0.731,1.46e-05,0.11,0.0243
13,121,2s694fZ36AJLuVnn3IBtFU,If You Lie Down With Me,Lana Del Rey,pop,0.356289698245967,122.101,8B,0.346,0.187,0,1,4,-9.508,0.913,3.99e-05,0.104,0.036
14,74,173WXKU5s2XDjN8lJ3SDdb,The Lighthouse Keeper,Sam Smith,pop,0.26491137661571595,130.721,8B,0.17,0.315,0,1,3,-10.368,0.889,0.0,0.105,0.0451
15,57,0E25sMDvRSgBT2uTBhYlEn,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,0.30625881576987557,103.267,8A,0.426,0.152,9,0,3,-9.525,0.46,0.0,0.1,0.0297
16,110,1Xi84slp6FryDSCbzq4UCD,Arcade,Duncan Laurence,pop,0.19203189546817395,71.884,8A,0.329,0.266,9,0,3,-12.603,0.818,0.00109,0.135,0.0441
17,93,2tMoOS9grHtn4upzb4LwMG,"Adiye - From ""Bachelor""",Dhibu Ninan Thomas;Kapil Kapilan,pop,0.4713518682421933,90.038,8A,0.454,0.548,9,0,4,-7.843,0.445,0.0,0.136,0.167
18,47,6E9UwSfT80age2xknoMS7Y,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev;Jubin Nautiyal,pop,0.34962794637036876,90.076,9A,0.401,0.345,4,0,4,-7.018,0.629,1.17e-05,0.154,0.0241
19,11,3DctSNSBYAo95RsDolNRr5,Unstable,Justin Bieber;The Kid LAROI,pop,0.3098456939446944,99.757,9A,0.333,0.37,4,0,4,-10.109,0.737,0.0,0.112,0.0288
20,87,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish;Khalid,pop,0.21761236119185043,115.284,9A,0.296,0.12,4,0,4,-10.109,0.934,0.0,0.095,0.0333
21,92,4roFMBSQp7W4fYVxKMmhA5,Junoon,Mitraz,pop,0.4134446680750047,107.988,9A,0.593,0.211,4,0,4,-7.982,0.2,0.0,0.0833,0.0378
22,41,3CzEMZd3QhEFlvWIayxvm9,2step,Ed Sheeran;Lil Baby,pop,0.5317372139046572,95.055,9A,0.643,0.477,4,0,4,-5.867,0.138,0.0,0.108,0.0828
