position,track_index,track_id,track_name,artists,track_genre,EV_score,tempo,camelot,energy,valence,key,mode,time_signature,loudness,acousticness,instrumentalness,liveness,speechiness
0,149,1LATi1QmWT9eUWmrLi1Onk,Blue Banisters,Lana Del Rey,pop,0.20063620640527075,90.945,7B,0.114,0.172,5,1,1,-13.171,0.937,4.73e-05,0.104,0.041
1,154,30v27OarRyhvCNNwlJYYU0,Have Yourself A Merry Little Christmas,Sam Smith,pop,0.2896934931683961,75.25,7B,0.178,0.344,5,1,1,-9.402,0.957,1.1e-06,0.316,0.0414
2,157,1SWliBgqzayYYnvmxwbouX,Happier Than Ever,Billie Eilish,pop,0.2609980416511239,72.535,8B,0.238,0.303,0,1,3,-8.802,0.741,0.00193,0.128,0.0389
3,265,7oN0Wo7sCVvXPdpxoio3JM,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,pop,0.34322667804507623,76.739,9B,0.491,0.106,7,1,3,-7.039,0.837,1.39e-06,0.111,0.0392
4,110,1Xi84slp6FryDSCbzq4UCD,Arcade,Duncan Laurence,pop,0.2730672724112576,71.884,8A,0.329,0.266,9,0,3,-12.603,0.818,0.00109,0.135,0.0441
5,72,3lNIknH3h8S5xce8H0z5QA,Happiness is a butterfly,Lana Del Rey,pop,0.22049502243539104,70.499,10B,0.119,0.156,2,1,4,-10.99,0.969,1.4e-06,0.0973,0.0401
6,124,6Oq4lIhSSYdA6WuXU9sPeG,Baarish Lete Aana,Darshan Raval,pop,0.34586667123741344,67.018,10B,0.35,0.318,2,1,4,-8.937,0.838,0.0,0.108,0.0248
7,108,6X7pjnNm5dHSUot6hp3KFU,Lover,Taylor Swift,pop,0.3841020529110441,68.505,9B,0.543,0.453,7,1,4,-7.582,0.492,1.57e-05,0.118,0.0915
8,9,3AYtDDIbG4DQxnEFELeFag,willow,Taylor Swift,pop,0.42315286265979174,80.961,9B,0.579,0.549,7,1,4,-9.195,0.835,0.00179,0.145,0.164
9,270,6TFESXMfJJWwccviaxGAMa,Humsafar,Akhil Sachdeva;Mansheel Gujral,pop,0.3702492329805452,93.991,9B,0.552,0.221,7,1,4,-6.401,0.719,0.0,0.144,0.0307
10,259,3jf5303mzzJ96O8xFTcEn4,"Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,pop,0.3874533625191921,90.831,10B,0.467,0.193,2,1,4,-4.904,0.68,0.0,0.135,0.0327
11,208,4IutCwE0y4Zei7ZKdGiaK8,"Season Of The Witch - From The Motion Picture ""Scary Stories To Tell In The Dark""",Lana Del Rey,pop,0.34483636090972897,95.987,10B,0.205,0.352,2,1,4,-14.173,0.895,0.0275,0.114,0.0403
12,276,6R4KHRnMXQEZtb1qXoNX1e,Eppudo Ninnu,Vishal Chandrashekhar;Yazin Nizar,pop,0.5174611017827042,89.993,10B,0.447,0.619,2,1,4,-9.609,0.568,0.0,0.127,0.104
13,207,57jOEZtoLQK4zF2x55bdkp,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli;Arijit Singh;Neha Kakkar,pop,0.4797178561985338,87.029,9B,0.382,0.499,7,1,4,-8.237,0.585,0.0,0.128,0.0466
