position,anchor_track,track_name,EV_score,camelot,arc_cost,left_transition_cost,right_transition_cost,anchor_alignment_cost
294,51,Daryaa,0.4499585182311276,4B,0.338509438708581,1.1769529699919825,1.4883267841776602,3.003789192878224
275,75,Teri Hogaiyaan,0.427254215591607,7B,0.3232246146128828,1.2183951095879333,0.9950390829865072,2.5366588071873233
134,192,Intentions,0.7248920974013542,11B,0.2563325761266458,1.0951557372674092,0.9245794026447257,2.2760677160387806
284,212,Love Yourself,0.45230474083225547,12B,0.3161689388783907,1.3928996755243097,0.525032201379882,2.2341008157825826
195,16,Daru Badnaam,0.6206587023773629,1A,0.03013409000537315,1.5864909967786947,0.5457193925291748,2.1623444793132425
256,197,Yellow,0.5398515781960547,1B,0.17263812527321631,1.1885042099307985,0.7498156608270587,2.1109579960310736
246,244,Temporary pyar,0.48491467183754533,6B,0.20758075440266321,0.930217492751078,0.9273750023899041,2.065173249543645
265,176,In The Stars,0.37956237810653554,6B,0.3509221748688918,0.9463098884288161,0.6718955729552001,1.969127636252908
270,157,Happier Than Ever,0.2609980416511239,8B,0.4794836499388347,0.8440516765198178,0.626954811112908,1.9504901375715604
13,290,Filhaal2 Mohabbat,0.48318222313060843,8A,0.25655345632755644,1.0065165273993277,0.6713019321345206,1.9343719158614048
181,250,Ek Tarfa,0.4404794111962701,7A,0.12205321305503214,0.7574037003734697,1.0473407455569097,1.9267976589854117
37,87,lovely (with Khalid),0.2890816810375953,9A,0.014466648884793265,1.0638020516567022,0.8279726520789799,1.9062413526204753
144,40,Mere Humsafar (Original Score) [Female Version],0.4493205485134884,12B,0.03923324999028249,0.8492354793548726,1.0017790753471512,1.8902478046923064
219,25,"Adipoli (From ""Think Originals"")",0.6230648679453352,8B,0.015446009776404535,1.1242452767975775,0.7341208817766611,1.873812168350643
289,287,Ek Tarfa - Reprise,0.3352508582454512,12A,0.4432199600797262,0.611703240254175,0.8133941866670691,1.8683173870009702
59,3,Shiddat Title Track,0.5586949237928078,8A,0.2400924817360683,0.8175792311271959,0.7924742826799912,1.8501459955432553
149,184,Everyday Life,0.42029375035589533,10B,0.07825718676240684,0.6041088792870353,1.1493474525438425,1.8317135185932847
