position,from_track,to_track,from_EV_score,to_EV_score,EV_drop,target_arc_value_at_position,from_camelot,to_camelot,transition_cost,nearest_decision_type
251,117,216,0.6865568909829507,0.2982042432428783,0.3883526477400724,0.7024925648547398,4A,4A,0.8570304590430248,near_anchor
293,94,51,0.7328418099973967,0.4499585182311276,0.2828832917662691,0.7864685292168023,3B,4B,1.3050417158287326,near_anchor
273,180,198,0.7611946337882219,0.4900837321270489,0.271110901661173,0.7464799747586772,6A,7B,1.5253904234554134,base_case
200,206,228,0.6464081863697537,0.3986398628761866,0.24776832349356714,0.600521750986521,2B,3B,0.8102207212837476,near_anchor
287,278,284,0.4968961790860565,0.2548598434674437,0.24203633561861276,0.7744719628793648,12A,11A,0.9881413623712135,base_case
73,148,50,0.6024541135173566,0.3609157943889988,0.24153831912835777,0.3465944301774271,7B,9B,1.0893386131876157,near_anchor
261,49,232,0.7853172073008222,0.545728164059912,0.23958904324091024,0.7224868420838022,4A,4A,0.8358325769096167,near_anchor
207,28,123,0.7080826026461718,0.4895270714102618,0.21855553123591004,0.6145177450468647,10A,12A,1.704994196018368,base_case
36,52,87,0.4990286317520566,0.2890816810375953,0.2099469507144613,0.2726156044298958,8A,9A,0.8910952160269325,near_anchor
94,204,255,0.6363956559991708,0.42976563092062287,0.20663002507854794,0.38858241235845836,10A,11A,0.7205498592671313,base_case
100,188,126,0.6998531725612421,0.5049064751190282,0.19494669744221393,0.40057897869589587,11A,12A,0.6440580767270656,near_anchor
35,135,52,0.6807367335624892,0.4990286317520566,0.18170810181043262,0.27061617670698956,7A,8A,0.7690683381530528,base_case
255,268,197,0.7170689990920431,0.5398515781960547,0.17721742089598846,0.7104902757463647,1B,1B,0.7498156608270589,near_anchor
135,82,248,0.8101880980915868,0.6332930365579557,0.1768950615336311,0.47055894899761463,10B,10B,0.6006670757071968,base_case
47,81,79,0.6733634120567383,0.49695050831118837,0.17641290374554996,0.2946093093818646,5A,4A,0.5585586235332491,base_case
