position,from_track_index,from_track_name,from_EV_score,from_camelot,to_track_index,to_track_name,to_EV_score,to_camelot,transition_cost,EV_delta,camelot_jump,nearest_decision_type
270,157,Happier Than Ever,0.2609980416511239,8B,107,26 Blvd,0.720366346581548,10B,2.765837269017085,0.4593683049304241,2,near_anchor
276,289,"Chogada (From ""Loveyatri"")",0.5487938357743001,9B,42,Firefly - Bravado Dubstep Remix,0.5647199645776586,11B,2.2841000220942513,0.01592612880335853,2,base_case
280,74,The Lighthouse Keeper,0.33362342316932736,8B,141,Habibi - Albanian Remix,0.4834651979612299,9A,2.188145238673544,0.14984177479190253,1,near_anchor
275,75,Teri Hogaiyaan,0.427254215591607,7B,289,"Chogada (From ""Loveyatri"")",0.5487938357743001,9B,1.9862992812606646,0.1215396201826931,2,near_anchor
298,205,MIDDLE OF THE NIGHT,0.4859404004078143,9A,102,Mitti De Tibbe,0.7984650955542398,11A,1.8535620894850044,0.31252469514642556,2,base_case
297,243,Born To Die,0.37085686628482045,9A,205,MIDDLE OF THE NIGHT,0.4859404004078143,9A,1.8164223298447792,0.11508353412299382,0,base_case
289,287,Ek Tarfa - Reprise,0.3352508582454512,12A,32,Cherry,0.40889610419404515,1A,1.7909402631546651,0.07364524594859395,1,near_anchor
285,35,Homesick,0.33417888725252026,2B,111,Mujhe Peene Do,0.21824827857414236,2A,1.7405608240935002,-0.1159306086783779,0,base_case
224,48,Tumse Milke Dil Ka,0.7103843730339376,8A,127,Libaas,0.8276185719360545,6B,1.72689705882056,0.11723419890211684,2,near_anchor
207,28,"Aafat (From ""Liger"")",0.7080826026461718,10A,123,Faasle,0.4895270714102618,12A,1.704994196018368,-0.21855553123591004,2,base_case
286,111,Mujhe Peene Do,0.21824827857414236,2A,278,JAMAICA,0.4968961790860565,12A,1.6116463803225736,0.2786479005119141,2,base_case
259,292,Overpass Graffiti,0.7556063907121068,8A,56,Jiske Aane Se Mukammal,0.6070352169970805,5A,1.6067626874298342,-0.14857117371502626,3,base_case
296,143,Akhiyaan,0.450645084955859,10B,243,Born To Die,0.37085686628482045,9A,1.6062676607075173,-0.07978821867103852,1,base_case
254,88,"Naacho Naacho (From ""Rrr"")",0.7375046474776283,3A,268,Judge,0.7170689990920431,1B,1.535325824825497,-0.020435648385585203,2,base_case
273,180,Otha Thamarai - Original Soundtrack,0.7611946337882219,6A,198,"Bolna (From ""Kapoor & Sons (Since 1921)"")",0.4900837321270489,7B,1.5253904234554134,-0.271110901661173,1,base_case
